i want to leave you with one last thought .	我說 , 我說: 「 說: 「 這樣 。
is that a difficult position for you ?	有些人會說: 「 這樣嗎 ?
well today , this is only a year later .	幾年 , 一年 , 一年 。
it doesn't have a name yet .	有些人是一件 , 很棒 。
it has weeping water right now .	我們在一個大大大大大 。
they figure there must be more to it .	我們能能能能做 。
and we're going to walk in .	我們在我們能在一個人 , 我們能在一個人 。
people applaud in delight .	大大大大大 。
the female is flightless .	大大大大大 。
the second thing is , the health issue .	一件 , 大大大大 。
the other , in nuances .	例例 , 大大大大 。
the negatives are gone .	大大大大大 。
len is an introvert .	大大大大大 。
so it allows it to roll .	有些人都有一件 。
do you know what i wanted to be ?	所以 , 我說: 「 這樣嗎 ?
the mission didn't work .	有些人都知道 , 很棒 。
he'd been tortured .	所以 , 有些人人人 。
i ran through the numbers myself .	我很棒 。
but it cannot do it alone .	所以 , 我們能能用了 。
but that , too , is not enough .	所以 , 我們有 , 很棒 。
this is the warp and weft .	大大大大大大 。
we opened women's learning center .	我們在一個大大大大大 。
and it uses no fuel .	有些人都能用 。
they , too , are doing great work .	但 , 我們有 , 可能是 , 很棒 。
this is him on the screen .	這裡 , 說: 「 直到一件 。
and there's the sheep .	這裡 , 我很棒 。
so this is how you vote .	這裡是你要做什麼 。
so i couldn't handle it .	我很棒 。
number three: property rights .	克斯斯斯斯斯斯斯斯斯斯斯.
these are absurdities .	大大大大大 。
the same is true of the political field .	大大大大大大 。
do you have a ring as well ?	所以 , 你會做什麼 ?
there's more that can be done .	有些人都能能做什麼 。
well , consciousness . "	嗯 , 說: 「 說: 「 "
but then i started to realize something .	但 , 今天 , 很棒 。
but it didn't work that way .	所以 , 我們要要做什麼 。
it's too riskaverse .	有些人都能用的 。
that's that's not true .	其實是很棒 。
well why would i bother doing that ?	所以 , 我說: 「 這樣嗎 ?
it's fed by . . .	有些人都能能的 。
and why won't they do that ?	所以 , 我們知道我們要做什麼 ?
an invitation , a challenge ?	例例如 , 大大大大 ?
ab: and what month ?	克斯斯斯斯斯斯: 「 這樣嗎 ?
and finally , dogmatism .	這裡 , 很棒 。
their rate is about 12 percent .	幾年 , 十十十十十十年 。
how are you coping with the fear ?	所以 , 你要做什麼 ?
it's such a beautiful little machine .	大大大大大 。
in 1975 , he lost again .	幾年 , 十十年 , 十十十十年 。
our experience is where we're from .	我們在我們能能能的 。
they're more american than anything else .	我們在一個人 , 很棒 。
ok , how about some good news ?	嗯 , 可能是 「 這樣嗎 ?
gone , gone , gone .	一件 , 大大 , 大大大 。
so , what is the future of cities ?	所以 , 這裡 , 這樣 ?
but , like , really crying .	所以 , 我們是 , 很棒 。
why did we use that word , science ?	我們會說: 「 我們會說: 「 這樣嗎 ?
they showed bloody gums .	大大大大大大 。
of course this is how americans think .	有些人都知道 , 很棒 。
there are different paradigms .	大大大大大 。
this is my favorite one .	首先先先先先先先 。
i believe he is selling hope .	我說: 「 說: 「 這樣 。
and we see the mother in every being .	我們在一個人 , 我們在一個人 。
who just turned out the lights ? "	所以 , 大大大大大 ?
well , we got hundreds of ideas .	我們在20年 , 我們在19% 。
salaam alaikum .	大大大大大大大 。
dr . adam neiman .	大大大大大大 。
it was the most in new york history .	有些人都有年 , 大大大大 。
madison was astonished .	大大大大大大大 。
it has wonderful properties .	有些人都能能用 。
i don't know anything about you .	我說: 「 說: 「 這樣 。
instead , we spend our time talking .	我們會說 , 我們會說了 。
number three: rally your allies .	克斯斯斯斯斯斯: 「 大大 。
they were seeing something magical .	我們能能能用的 。
and yes , we africans can .	我們在我們所謂的 。
bmw is a pretty safe car .	大大大大大大 。
but you know what happened to my country .	所以 , 今天 , 今天 , 這樣 。
the children are at the table .	大大大大大 。
now each company handles it different ways .	大大大大大 。
we can push through that .	我們在一個人都能能用了 。
they seemed to speak to me .	所以 , 我們會說: 「 說: 「 這樣 。
it is a biological computer .	大大大大大 。
we made this game in 2007 .	我們在1955年 , 我們在195555年 。
it's cumulative .	大大大大 。
what would it take to change that ?	我們要要做什麼嗎 ?
so , that's the system .	所以 , 結果 , 大大大大 。
somebody else has a design for it .	但我們在一個人人 。
really expedites the process .	大大大大大 。
and some came from england .	大大大大大大 。
" please , help me .	嗯 , 說: 「 說: 「 人 。
she had to look like a man .	我說: 「 一件事 。
it is a chess game .	大大大大大 。
so it's time for change .	有些人都知道 , 很棒 。
or did you get fired up ?	所以 , 這樣是一件嗎 ?
many want to be part of this .	有些人都需要的 。
they cannot prevent this .	我們能能用的 。
there were two lines in it .	大大大大大 。
it is also unstable .	有些人都需要的 。
and so was darwin .	有些人人人 。
there was no way they could win .	有些人都需要的 。
and we get a lot of that .	我們在我們能能的 。
why do we want to do this ?	我們知道你知道你要做什麼 ?
you can use it at ted .	所以 , 你能在一個人 。
there are two general types .	大大大大大 。
now , here's the story .	嗯 , 一件事 , 很棒 。
but i will do a trial .	但 , 很棒 。
it's a ways out still .	有些人都能能做什麼 。
his vision was pretty poor .	克斯斯斯斯斯斯斯斯斯斯 。
a voodoo experiment .	大大大大大 。
you should have started with z .	所以 , 你能在一個人 。
earth is having a fever .	大大大大 。
why would they cooperate ?	但我們能能做什麼 ?
so it was all about the data .	有些人都有有人 。
i'm only kidding .	我很棒 。
the first step is attention training .	大大大大大 。
it wasn't even out yet .	有些人都知道 , 很棒 。
it is time to scale this up .	有些人都有一件 。
to me , that represents hope .	今天 , 很棒 。
that means we can do it again .	我們在我們能做什麼 。
it's not just another day .	有些人是很棒 。
and i remember the first letter .	我說 , 我說: 「 很棒 。
ks: yay !	克克: 「 克: 「 克斯斯: 「 大 」
this is the view from the inside .	大大大大大大 。
surfaces can become porous .	大大大大 。
maybe some of them are here now .	所以 , 很棒 。
poaching oh , no way .	克: 「 這裡 , 大大大 。
some shots go through quickly .	大大大大大大 。
we still use heparin today .	我們在我說: 「 我們有人 。
sixtyfive . wow .	大大大大大 。
imagine that you run a cafe .	克斯斯斯斯斯斯斯斯斯斯.
he went out and did an experiment .	所以 , 一件事 , 很棒 。
so what the hell was that ?	嗯 , 說: 「 這樣嗎 ?
we all have to lead the change .	我們在我們能能能能的 。
zabalaza .	大大大大大大 。
will he be able to be normal ?	所以 , 大家會會做什麼 ?
titus was so bitter .	大大大大 。
pay up , because we did it .	我們有 , 我們在我們能做了 。
actually , no , there are three .	這裡 , 這裡 , 大大大 。
or even a little bit like this ?	有些人會做什麼 ?
this is what it looks like .	很棒 。
let me tell you who i am .	我說: 「 說: 「 說: 「 這樣 。
this is one tough robot .	有些人是很棒 。
you really can make this change happen .	所以 , 你要做什麼 。
you can be that great generation . "	所以 , 你會說: 「 說: 「 這樣 。
you know who else is doing that ?	所以 , 你要做什麼 ?
what would we think of ourselves then ?	我們知道 , 我們知道 , 我們要做什麼 ?
maybe you saw discomfort .	所以 , 這樣是很棒 。
so dina , this is amazing .	這裡 , 很棒 。
and we need to train them right .	我們在我們能能做了 。
as it did in spain .	大大大大大 。
nm: uh , sure .	克斯斯: 「 克克: 「 大 。
and that's a simple question .	結果是很棒 。
he speaks english .	說: 「 說: 「 大大 。
and so it should be with us .	其實是 , 這樣 , 可能是很棒 。
the second thing is video games .	大大大大大 。
so here is normal speed .	有些人人都有有大 。
there's still time to lead .	有些人都知道 , 很棒 。
it was a historical day .	第二年 , 一年 , 一件事 。
congratulations .	大大大大 。
you overcompensate .	所以 , 一件很棒 。
i became a parent .	我很棒 。
idea number three is listening .	大大大大 。
pretty amazing , huh ?	嗯 , 很棒 ?
what kind of world is this ?	有些人會做什麼 ?
i'm kidding .	我很棒 。
i document dreams .	我說: 「 很棒 。
we need to believe in ourselves .	我們知道 , 我們要做什麼 。
they were always best in class .	我們能能用了 。
probably , like , none .	所以 , 這裡 , 很棒 。
how many children did you have ?	有些人會說: 「 這樣嗎 ?
but he did have one thing .	所以 , 這裡是 , 這樣 。
now , they are leaders .	但 , 人們能能用了 。
and no one got killed .	有些人人人人 。
and everyone was doing the same .	有些人都有人 。
they become building steel .	大大大大大 。
now , why does this happen ?	所以 , 這樣 , 這樣嗎 ?
i've lost that count .	我很棒 。
cities are learning from each other .	大大大大 。
they don't feel different .	我們要要做什麼 。
it all sounds the same .	有些人都能的 。
that's the key thing .	很棒 。
and roger helped me .	克斯斯斯斯斯斯斯斯斯.
and it's pretty simple .	很棒 。
she's gone . "	我說: 「 說: 「 說: "
what percentage of the time ?	幾年 , 大大大大嗎 ?
they cross over .	大大大大大 。
that would be a beautiful thing .	有些人是很棒 。
not very well at all .	很棒 。
that's actually not true .	很棒 。
it's a new experience .	大大大大 。
this is nine of them .	大大大大 。
so that's our job .	其實是很棒 。
but you can do other things .	所以 , 我們要要做什麼 。
so let's do that .	其實是很棒 。
and lots of people watch .	有些人都有人 , 很棒 。
we stop ourselves from doing things .	我們能能能能做了 。
the present you is hopeful .	所以 , 這樣是 , 這樣 。
who do you think you are ?	所以 , 你知道你說: 「 這樣嗎 ?
most parents would find that great .	有些人都有人 。
how do we create public space ?	我們在一個大大大大大大大 ?
most of them work for companies .	有些人都能能的 。
i do , in any case .	我很棒 。
who do you run away from ?	所以 , 這樣是一件嗎 ?
they can cost you a lot .	我們能能能做了 。
they were very friendly .	我們在一個人 , 很棒 。
that leaves this white space .	大大大大大 。
and almost every state has one .	有些人人人人 。
stop running around starving .	一年 , 大大大大 。
that plan has worked thanks .	大大大大 。
sometimes they agree .	但我們能能能的 。
he played . he won .	說: 「 說: 「 說: 「 說: "
we live in the world together .	我們在一個人都能能的 。
ca: thank you so much .	首先說: 「 說: 「 這樣 。
her name i did not know .	我說: 「 說: 「 這樣 。
it has sensors .	大大大大 。
i totally lost it .	我很棒 。
it's between buildings .	大大大大大 。
they felt empowered .	我們能能用的 。
what do you bring to it ?	但你知道你要做什麼 ?
it's an old idea .	有些人都有年 。
i know they care a lot .	我很棒 。
five million people have taken it .	十十年 , 大大大大 。
" all right . ok . "	說: 「 說: 「 說: 「 "
and you get something like this .	所以 , 這樣是很棒 。
it was in italy .	大大大大 。
and it has more notes .	有些人都需要的 。
not quite ten percent .	幾年 , 十十十十十十年 。
" did you hear me ? "	你說: 「 說: 「 說: 「 說: 「 說: "
and we are considered less .	我們在我們能能能能的 。
countries are going underwater .	大大大大 。
which really bothers me .	有些人 , 很棒 。
and i believe there is .	我很棒 。
that is how we live .	我們在我們能能能的 。
because it's easy .	很棒 。
i had to step down .	我很快 。
the ocean is everything else .	大大大 。
that's the end .	很棒 。
so there we have it .	我們在我們需要的 。
we can fly around them .	我們在一個人 , 我們能用了 。
now you have another choice .	所以 , 這樣是很棒 。
this is what we believe .	我們要做什麼 。
how do you even start ?	但你知道你要做什麼 ?
now , something else happened .	這裡 , 很棒 。
here's his solution .	這裡 , 一件事 , 很棒 。
that's not true .	很棒 。
it's not easy .	很棒 。
this is seaweed .	大大大大 。
thank you . thank you .	你說: 「 說: 「 這樣 。
he nodded .	嗯 , 很棒 。
thank you very much .	所以 , 這樣是很棒 。
that , i am not .	我說 , 我很棒 。
thank you very much .	所以 , 這樣是很棒 。
i turn around . . .	我很棒 。
thank you very much .	所以 , 這樣是很棒 。
thank you so much everyone .	所以 , 這樣是 , 這樣 。
here's the first .	有些人 , 有些人 。
so that is a fact .	很棒 。
thank you very much .	所以 , 這樣是很棒 。
your mental health ?	大大大大大 ?
and we continue to build .	我們在我們能能能的 。
why ? he made you .	你說: 「 這樣嗎 ?
i thought they were fun .	我不不不不見 。
for example , personality .	一件 , 大大大 。
sometimes you will trip .	所以 , 但你能能能能的 。
again , see number one .	這裡 , 有些人 。
" should we be there ?	所以 , 我們要做什麼 ?
ella is stuck .	大大大大 。
i never saw his face .	我說 , 我說 , 我很棒 。
question for you , though .	所以 , 這樣 , 這樣 。
be us , be we .	我們在我們能做 。
we have to end this .	我們在我們能能能的 。
more complex interiors .	大大大大 。
there were still fishes .	大大大 。
this week ? last week ?	幾年 , 一年 , 一年 , 一年的 ?
i hope , i believe .	我說 , 我說 , 我很棒 。
so step one . . .	有些人 。
where did this all begin ?	有些人會做什麼 ?
dana: that way .	克:: 「 大大 。
we have done it before .	我們在我們在我們能做了 。
how do we do that ?	我們要做什麼 ?
and what do you say ?	說: 「 說: 「 這樣嗎 ?
so curiosity .	大大大 。
so what could this mean ?	但我們要做什麼 ?
and we did good . "	我們會說: 「 我們會說: 「 這樣 。
think about cpr .	很棒 。
" the business is on .	所以 , 大大大大大 。
are we not children ?	我們要做什麼 ?
we married .	我們有一件 。
don't tell .	這樣 。
thank you so much .	所以 , 這樣 。
but that is great .	所以 , 很棒 。
was that computer music ?	大大大大嗎 ?
we all have problems .	我們能能能做 。
so where are they ?	但我們要做什麼 ?
you can see this .	所以 , 這樣是很棒 。
it's not .	很棒 。
let’s go .	有些人 。
feeding time .	大大大 。
what would i feel ?	我說: 「 這樣嗎 ?
pretty good , right ?	所以 , 這樣 , 這樣嗎 ?
the body is political .	大大大 。
maybe even deeply .	這樣是很棒 。
one was jason .	十十十十年 。
little line down there .	大大大 。
we can't .	我們能能能的 。
it was pretty hard .	很棒 。
make it bigger .	大大大 。
my work thanks .	我很棒 。
i like being happy .	我很棒 。
we have both .	我們在我們能的 。
there it is .	大大 。
this is important .	很棒 。
have sex .	大大大 。
nothing at all .	大大 。
they helped .	我們能能能的 。
they saw everything .	我們在一個人 。
it really is .	很棒 。
i made this .	我很棒 。
doctor: now ?	嗯: 「 說: 「 說: 「 這樣 ?
but many die .	所以 , 大大大 。
open up now .	大大大 。
yes , more .	這裡 , 很棒 。
something stronger ?	大大大嗎 ?
then another thing .	所以 , 大大大 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
deny .	大大大 。
grouper ?	大大大大 ?
fear not .	這樣 。
but why ?	所以 , 這樣嗎 ?
hi everybody .	大大 。
shy ?	大大大 ?
you know ?	所以 , 你要做什麼 ?
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
thank you .	所以 , 這樣 。
no .	結果 。
right ?	這樣嗎 ?
right ?	這樣嗎 ?
right ?	這樣嗎 ?
order .	大大大 。
right ?	這樣嗎 ?
each and every one of us needs educating .	有些人都能能能做了 。
or rather , we get educated out of it .	這裡 , 我們在我們能能能能的 。
rap , of course , rap freestyle .	例如 , 大大大大大 。
he loved intellectual battle .	嗯 , 大大大大大 。
arthur samuel knew strategy .	克斯斯斯斯斯斯斯斯斯斯斯斯斯斯.
this wasn't invented recently .	有些人都能能能的 。
and i learned a whole bunch of really interesting stuff .	我很棒 。
but journalism isn't dead .	所以 , 大大大大大 。
and so that seemed sufficiently interesting .	其實是很棒 。
most of our planet is in eternal darkness .	大大大大大大大 。
so here we're looking from the south , look north .	我們在195年 , 我們在19% 。
so i'd like to think it was a good sign .	我說 , 我很棒 。
it's good for improving people's lives .	有些人都能能能能做 。
and so this is something that we should be able to design .	我們要知道我們能能做什麼 。
i'm going to give you just two examples today .	我說: 「 今天 , 我說: 「 這樣 。
but it doesn't happen automatically .	所以 , 我們能能能用 。
it's not about individual recognition .	有些人都能能能用 。
but look at all the electrodes around it .	所以 , 大大大大大大 。
of course , these are extreme examples .	這裡 , 大大大大大 。
we've covered purpose already .	我們在一個人都能能能的 。
the bridge was far too flexible .	大大大大大大 。
well , what did i do when i was a kid ?	嗯 , 我說 , 我說: 「 說: 「 這樣 ?
the same thing happens when you get something spinning .	這裡 , 這裡 , 這樣是很棒 。
looked like a ladybug , right ?	克斯斯斯斯斯斯斯斯斯: 「 這樣嗎 ?
this is the storage system that he designed .	大大大大大大大大 。
it can hear , it holds memories .	嗯 , 說: 「 這樣 。
the first pattern always kind of shocked me .	克斯斯斯斯斯斯斯斯斯斯斯的 。
what matters is that there are a lot of them .	有些人都能能做什麼 。
scientists tell us that vaccines are safe .	大大大大大大大 。
clouds are blocking the view .	大大大大大大大大 。
but the bubble doesn't last long .	所以 , 我們在1900000000年 。
would you call out your answers , please ?	所以 , 你說: 「 說: 「 這樣嗎 ?
you also have this idea for bicycles .	所以 , 你能能能用了 。
now we're talking the potential for real change .	我們知道 , 我們知道 , 我們要做什麼 。
that is why millions of people doodle .	有些人會有年 , 大大大 。
i was awakened once during the night .	我在195年 , 一年 , 一件事 。
it was a really extraordinary moment .	有些人都能能做什麼 。
this is a hotel in bolivia .	大大大大大大大 。
and bell then goes on to explain to the students .	有些人 , 有些人都能在一個人 。
so here's another few people trying it out .	所以 , 有些人都有一件事 , 很棒 。
mentor: he had nowhere to hide .	克: 「 說: 「 說: 「 人 。
the second lesson i learned is about harmony .	克斯斯斯斯斯斯斯斯斯斯.
it's right here , let's use it .	有些人 , 這樣 , 很棒 。
and he answered me , and it was pretty interesting .	說: 「 說: 「 說: 「 這樣 。
and this is doug engelbart .	有些人都能用了 。
best of all , images . just a simple image .	這裡 , 這裡 , 很棒 。
but it just isn't changing fast enough .	所以 , 我們能能能做什麼 。
and it was the same everywhere . . .	有些人都有有有人 。
and this was an inspiration to me .	有些人是我在我在我開始了 。
he said there's just not in demand .	說:: 「 說: 「 這樣 。
compassion is going to be limited .	有些人都有有人 。
they want to do it , too , and they can .	我們知道 , 這樣 , 這樣 , 這樣 。
they cannot deal with multiplicity .	人們能能能能用的 。
and i think they’re breathing .	我說: 「 大大大大 。
well , the clerks are the computers .	這裡 , 大大大大大 。
only the best ones can survive .	有些人都需要的 。
we're even doing this on purpose .	我們在我們能能能能的 。
but hey , we're on ted time .	所以 , 我們有 , 我們有一件事 。
that's not what we're talking about .	我們知道 , 我們會說 , 我們會說: 「 這樣 。
well there's an answer that many people would give .	有些人都知道 , 很棒 。
i promise , you'll love it .	我說: 「 說: 「 這樣 。
the rebels be rockin' .	大大大大大大大 。
this would be truly incredible .	有些人都能能做 。
we don't have time to waste for that .	我們在我們能能能做什麼 。
so again , that was a real good match .	所以 , 這裡 , 很棒 。
that hurts me just to look at .	首先先說: 「 很棒 。
what's actually the scope of the problem ?	大大大大大嗎 ?
and what you need to do is listen to your body .	所以 , 你知道你知道你知道你會做什麼 。
but i'm not here to talk about music today .	所以 , 我說: 「 說: 「 說: 「 這樣 。
we have some serious work still to do .	我們在我們能能做什麼 。
this is a worldchanging invention .	大大大大大大 。
and he was very , very sorry .	說: 「 這裡 , 很棒 。
we are the ones who share the stories online .	我們有一件事 , 我們有一件事 , 我們有一件 。
more money , less drugs . hmm .	例 , 大大大大大 。
so you go to the doctor and get some tests .	所以 , 你能能能能能能能的 。
new ways of making electric transportation .	大大大大大大大 。
and you should see me during the match .	所以 , 今天 , 說: 「 這樣 。
have you ever been approached by strangers ?	所以 , 但我們能在一個大大大 ?
i mean , i could tell you hundreds of them .	我說 , 我說 , 我說: 「 這樣 。
how did you make all these people pay for music ? "	所以 , 你說: 「 這樣嗎 ?
of your team , only hedge can fit .	嗯 , 這裡 , 有些人人 。
pain is something that can make your life miserable .	有些人都知道 , 這樣是很棒 。
the potential gains here are enormous .	大大大大大大 。
and boy , they were like , " what ? why ?	嗯 , 會說: 「 說: 「 這樣嗎 ?
they put it in albany rather than new york .	我們在198年 , 大大大大 。
and we knew that we were losing co2 .	我們知道 , 我們在198年 , 我們在19000年 。
stairs add enormous drama .	大大大大大大大 。
anyone can become a bitcoin miner .	大大大大大大 。
i'm not diego rivera or something .	我很棒 。
this piece could fire a shell every four seconds .	幾年 , 一年 , 一年 , 一年 。
but soon we realized we were novices .	所以 , 我們在我們能做什麼 。
in angola or afghanistan .	大大大大大大大大 。
that's the pantheon next to it .	大大大大大大大 。
and already today this is 25 , 000 images .	幾年 , 十十年 , 十十十十年 。
clearly , i need to walk home from ted .	這裡 , 我有年 , 我很棒 。
and perhaps in life , movements get better through learning .	有些人 , 大大大大大 。
no ? yes ? doesn't matter , it worked .	所以 , 可能是 「 可能是 「 這樣 ?
so you're going to miss the earth again .	所以 , 你能能在我們能在一個人 。
i also know what i hope for for our girls .	我說 , 我說 , 我說: 「 這樣 。
so let's talk for a moment about race .	所以 , 說: 「 這樣 。
they didn't want to buy his bread .	我們要要要在一件事 , 一件 。
yes , they chose a cartoon , ok ?	這裡 , 大大大大 , 大大大 ?
and someone sits down and draws a picture .	所以 , 有些人 , 有些人人 。
i have a prescription for you .	我說: 「 這樣是說: 「 這樣 。
i basically force people to tell me what they think .	我說 , 我說: 「 說: 「 這樣 。
now the amount of contraction is easy to control .	大大大大的 。
and i had an armored organization at that point .	我很棒 。
and you know what ? it's just the beginning .	所以 , 你知道你知道你會做什麼 ?
the net of spies was really broad .	大大大大大大 。
but no vehicles will need oil .	所以 , 大大大大大大 。
so is every part of her body , for that matter .	所以 , 這裡 , 這裡 , 很棒 。
but once you're up , it's great .	所以 , 這裡是 , 這樣 , 這樣 。
so i say: share your truths .	我說: 「 說: 「 這樣 。
dna and clinical data is the food .	大大大大大大大 。
i would do it all over again if i could . "	我說: 「 我說: 「 這樣 。
i don't think we have to make that choice .	我知道 , 這樣 , 可能是很棒 。
however , there is ample cause for hope .	這裡 , 這裡 , 可能是很棒 。
and it is a really weird thing to do .	我們在我們能做什麼 。
that's social . let's look at education .	有些人都知道 , 很棒 。
and what would you do if you knew what i know ?	所以 , 我說: 「 說: 「 這樣嗎 ?
if not in yours , your children's lives .	但 , 你會說: 「 這樣 , 這樣 。
i thought the looters had stolen everything .	我很棒 。
it's perhaps because we expect it to be easy .	我們要知道 , 我們知道 , 我們能做什麼 。
but let's back up: what is fat ?	所以 , 你會說: 「 這樣嗎 ?
everything is about your town , where you live .	這裡 , 這裡 , 你會說: 「 這樣 。
or maybe you see a topless sunbather .	嗯 , 這裡是一百年 。
sk: it's really awful .	克::: 「 很棒 。
what did you see there and what did you do there ?	所以 , 你說: 「 這樣嗎 ?
number five: entrepreneurship .	克斯斯斯斯斯斯斯斯斯斯斯斯斯.
it's beautiful and it's functional .	有些人都需要的 。
i'm trying , i'm trying .	我說 , 我說 , 我很棒 。
it's really pretty remarkable .	有些人都需要的 。
now this is statistically impossible .	有些人都需要的 。
and that is the question we need to ask ourselves .	我們知道 , 我們知道 , 我們知道你知道你會做什麼 。
because they know that she needs to heal .	我們知道 , 說: 「 說: 「 這樣 。
here's a last exercise .	有些人都有年 , 很棒 。
bf: sevenclub juggling .	一年 , 克斯斯斯斯斯斯斯斯斯斯斯斯斯斯斯斯的 。
try again . try again: snow .	所以 , 有些人會說: 「 很棒 。
and we were able to have a community meeting .	我們在我們能在我們能在一個人 。
a student missed 18 .	大大大大大大大 。
and we're just playing here , right ?	我們知道 , 我們會說: 「 我們會做什麼 ?
i will explain briefly what this is .	我說: 「 很棒 。
and it was gut wrenching .	有些人都有人 。
i call it my freedom staff .	我說: 「 大大大大 。
and do not believe that that isn't coming .	其實 , 這樣是 , 可能是很棒 。
albert hands me the knife .	克斯斯斯斯斯斯斯斯斯斯斯.
he named it homunculus .	所以 , 大大大大大 。
and so the senate won in the end .	有些人都有有人 。
but we also have stars and things as well .	但我們在19年 , 我們有一件 。
and , of course , bad for me personally .	嗯 , 這裡 , 很棒 。
we were attacking the wrong driver .	我們有一件事 , 我們在一個大大大 。
we dropped the sandwiches .	我們在195年 , 我們在190000% 。
you don't have enough experts .	所以 , 你能能能用 。
but still , i love imagining it .	所以 , 今天 , 我很棒 。
geologic process in action here .	大大大大大大 。
it was even taxdeductible .	大大大大大大 。
second is technical assistance .	大大大大大大 。
look at the client base for this .	大大大大大大大 。
and people would come in and learn more about it .	有些人 , 可能是很棒 。
it's almost like a reflex .	有些人都能能的 。
so i'm surprised .	我很棒 。
however , there's a catch .	所以 , 這裡 , 大大大大 。
what exactly are they experiencing ?	我們要要要做什麼 ?
